repeat_id	total_infer_time	total_distance	avg_infer_time	avg_distance

========== Repeat 1 ==========
instance=  1	infer_time= 3.517s	distance=   22.00
instance=  2	infer_time= 2.624s	distance=   26.70
instance=  3	infer_time= 2.604s	distance=   23.91
instance=  4	infer_time= 2.644s	distance=   23.91
instance=  5	infer_time= 2.620s	distance=   24.82
instance=  6	infer_time= 2.400s	distance=   25.64
instance=  7	infer_time= 2.376s	distance=   26.45
instance=  8	infer_time= 2.407s	distance=   23.42
instance=  9	infer_time= 2.386s	distance=   22.25
instance= 10	infer_time= 2.442s	distance=   23.17
instance= 11	infer_time= 2.432s	distance=   24.36
instance= 12	infer_time= 2.498s	distance=   26.00
instance= 13	infer_time= 2.417s	distance=   25.09
instance= 14	infer_time= 2.428s	distance=   22.23
instance= 15	infer_time= 2.447s	distance=   25.36
instance= 16	infer_time= 2.418s	distance=   25.27
instance= 17	infer_time= 2.748s	distance=   27.50
instance= 18	infer_time= 2.412s	distance=   26.36
instance= 19	infer_time= 2.474s	distance=   24.18
instance= 20	infer_time= 2.526s	distance=   24.64
instance= 21	infer_time= 2.582s	distance=   23.73
instance= 22	infer_time= 2.419s	distance=   22.75
instance= 23	infer_time= 2.456s	distance=   24.50
instance= 24	infer_time= 2.474s	distance=   23.58
instance= 25	infer_time= 2.536s	distance=   24.64
instance= 26	infer_time= 2.446s	distance=   22.08
instance= 27	infer_time= 2.458s	distance=   26.27
instance= 28	infer_time= 2.420s	distance=   24.25
instance= 29	infer_time= 2.543s	distance=   23.75
instance= 30	infer_time= 3.167s	distance=   27.20
instance= 31	infer_time= 3.284s	distance=   24.82
instance= 32	infer_time= 2.575s	distance=   25.36
instance= 33	infer_time= 2.462s	distance=   21.83
instance= 34	infer_time= 2.481s	distance=   24.73
instance= 35	infer_time= 2.512s	distance=   22.92
instance= 36	infer_time= 2.569s	distance=   25.73
instance= 37	infer_time= 2.409s	distance=   25.09
instance= 38	infer_time= 2.402s	distance=   27.00
instance= 39	infer_time= 2.401s	distance=   24.55
instance= 40	infer_time= 2.441s	distance=   25.45
instance= 41	infer_time= 2.404s	distance=   27.50
instance= 42	infer_time= 2.406s	distance=   25.00
instance= 43	infer_time= 2.382s	distance=   25.09
